County,Total_Population19,Male population 2019,Female population 2019,Households,Av_HH_Size,LandArea,Population Density,Population in 2009,Pop_change,Intersex population 2019
Baringo,666763,336322,330428,142518,5,10976,61,555561,111202,13
Bomet,875689,434287,441379,187641,5,2531,346,724186,151503,23
Bungoma,1670570,812146,858389,358796,5,3024,552,1630934,39636,35
Busia,893681,426252,467401,198152,5,1696,527,488075,405606,28
Elgeyo-Marakwet,454480,227317,227151,99861,5,3032,150,369998,84482,12
Embu,608599,304208,304367,182743,3,2821,216,516212,92387,24
Garissa,841353,458975,382344,141394,6,44736,19,623060,218293,34
Homa Bay,1131950,539560,592367,262036,4,3153,359,963794,168156,23
Isiolo,268002,139510,128483,58072,5,25350,11,143294,124708,9
Kajiado,1117840,557098,560704,316179,4,21871,51,687312,430528,38
Kakamega,1867579,897133,970406,433207,4,3020,618,1660651,206928,40
Kericho,901777,450751,451008,206036,4,2436,370,758339,143438,28
Kiambu,2417735,1187146,1230454,795241,3,2539,952,1623282,794453,135
Kilifi,1453787,704089,749673,298472,5,12540,116,1109735,344052,25
Kirinyaga,610411,302011,308369,204188,3,1478,413,528054,82357,31
Kisii,1266860,605784,661038,308054,4,1323,958,1152282,114578,38
Kisumu,1155574,560942,594609,300745,4,2085,554,968909,186665,23
Kitui,1136187,549003,587151,262942,4,30430,37,1012709,123478,33
Kwale,866820,425121,441681,173176,5,8267,105,649931,216889,18
Laikipia,518580,259440,259102,149271,3,9532,54,399227,119353,18
Lamu,143920,76103,67813,37963,4,6253,23,101539,42381,4
Machakos,1421932,710707,711191,402466,4,6043,235,1098584,323348,34
Makueni,987653,489691,497942,244669,4,8170,121,884527,103126,20
Mandera,867457,434976,432444,125763,7,25940,33,1025756," (158,299)",37
Marsabit,459785,243548,216219,77495,6,70944,6,291166,168619,18
Meru,1545714,767698,777975,426360,4,7006,221,1356301,189413,41
Migori,1116436,536187,580214,240168,5,2614,427,917170,199266,35
Mombasa,1208333,610257,598046,378422,3,220,5495,939370,268963,30
Murang'a,1056640,523940,532669,318105,3,2524,419,942581,114059,31
Nairobi,4397073,2192452,2204376,1506888,3,704,6247,3138369,1258704,245
Nakuru,2162202,1077272,1084835,616046,4,7462,290,1603325,558877,95
Nandi,885711,441259,444430,199426,4,2856,310,752965,132746,22
Narok,1157873,579042,578805,241125,5,17950,65,850920,306953,26
Nyamira,605576,290907,314656,150669,4,897,675,598252,7324,13
Nyandarua,638289,315022,323247,179686,4,3286,194,596268,42021,20
Nyeri,759164,374288,384845,248050,3,3325,228,693558,65606,31
Samburu,310327,156774,153546,65910,5,21065,15,223947,86380,7
Siaya,993183,471669,521496,250698,4,2530,393,842304,150879,18
Taita Taveta,340671,173337,167327,96429,4,17152,20,284657,56014,7
Tana River,315943,158550,157391,68242,5,37951,8,240075,75868,2
Tharaka-Nithi,393177,193764,199406,109860,4,2564,153,365330,27847,7
Trans Nzoia,990341,489107,501206,223808,4,2495,397,818757,171584,28
Turkana,926976,478087,448868,164519,6,68233,14,855399,71577,21
Uasin Gishu,1163186,580269,582889,304943,4,3392,343,894179,269007,28
Vihiga,590013,283678,306323,143365,4,564,1047,554622,35391,12
Wajir,781263,415374,365840,127932,6,56773,14,661941,119322,49
West Pokot,621241,307013,314213,116182,5,9123,68,512690,108551,15
